Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Founded,Company Industry,Company Revenue,Country,State
Business Development Manager,Scoresby,Johnson & Johnson,110373,106000,115000,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,1887.0,Biotech & Pharmaceuticals,$10+ billion (USD),Australia,Victoria
Data Analyst,Melbourne,Wesfarmers OneDigital,140000,140000,140000,10000+ Employees,Company - Public,Retail & Wholesale,1914.0,Motor Vehicle Dealers,$10+ billion (USD),Australia,Victoria
Electronics Engineer,New South Wales,Australian Antarctic Division,92076,92000,92000,501 to 1000 Employees,Government,Government & Public Administration,1948.0,National Services & Agencies,Unknown / Non-Applicable,Australia,Victoria
Data Scientist,Melbourne,Wesfarmers OneDigital,140107,130000,151000,10000+ Employees,Company - Public,Retail & Wholesale,1914.0,Motor Vehicle Dealers,$10+ billion (USD),Australia,Victoria
Consultant,Burwood,PharmOut Pty Ltd,80000,75000,85000,,,,,,,Australia,Victoria
Data Analyst,Melbourne,Wesfarmers OneDigital,140000,140000,140000,10000+ Employees,Company - Public,Retail & Wholesale,1914.0,Motor Vehicle Dealers,$10+ billion (USD),Australia,Victoria
Data Engineer,Melbourne,GroupM,120416,100000,145000,10000+ Employees,Subsidiary or Business Segment,Media & Communication,2003.0,Advertising & Public Relations,Unknown / Non-Applicable,Australia,Victoria
Data Scientist,Melbourne,Wesfarmers OneDigital,140107,130000,151000,10000+ Employees,Company - Public,Retail & Wholesale,1914.0,Motor Vehicle Dealers,$10+ billion (USD),Australia,Victoria
Senior Channel Manager,Mulgrave,Bristol Myers Squibb,80623,65000,100000,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,1858.0,Biotech & Pharmaceuticals,$10+ billion (USD),Australia,Victoria
Data Engineer,Melbourne,GroupM,120416,100000,145000,10000+ Employees,Subsidiary or Business Segment,Media & Communication,2003.0,Advertising & Public Relations,Unknown / Non-Applicable,Australia,Victoria
Data Scientist,Melbourne,Circuit Recruitment,120000,100000,144000,Unknown,Company - Public,,,,Unknown / Non-Applicable,Australia,Victoria
Data Analyst,Melbourne,Attra,99590,97000,102000,1001 to 5000 Employees,Company - Private,Information Technology,1995.0,Information Technology Support Services,Unknown / Non-Applicable,Australia,Victoria
Navy Careers (No Experience Required),New South Wales,Royal Australian Navy,82500,75000,90000,10000+ Employees,Government,Government & Public Administration,,National Services & Agencies,Unknown / Non-Applicable,Australia,Victoria
Engineer,Melbourne,ANZ Banking Group,135554,100000,184000,10000+ Employees,Company - Public,Finance,1835.0,Banking & Lending,Unknown / Non-Applicable,Australia,Victoria
Data Scientist,Melbourne,Circuit Recruitment,120000,100000,144000,Unknown,Company - Public,,,,Unknown / Non-Applicable,Australia,Victoria
Data Engineer,Melbourne,Hudson Australia,141478,120000,167000,501 to 1000 Employees,Company - Private,Human Resources & Staffing,1985.0,HR Consulting,Unknown / Non-Applicable,Australia,Victoria
Data Analyst,Melbourne,Appscore,96472,88000,106000,201 to 500 Employees,Company - Private,Information Technology,2010.0,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Australia,Victoria
Software Engineer,Melbourne,Vedainfo Pty Ltd,120589,100000,141000,,,,,,,Australia,Victoria
Data Engineer,Melbourne,Hudson Australia,141478,120000,167000,501 to 1000 Employees,Company - Private,Human Resources & Staffing,1985.0,HR Consulting,Unknown / Non-Applicable,Australia,Victoria
Data Analyst,Melbourne,Appscore,96472,88000,106000,201 to 500 Employees,Company - Private,Information Technology,2010.0,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Australia,Victoria
Senior Front End Engineer,Melbourne,NAB - National Australia Bank,131453,120000,144000,10000+ Employees,Company - Public,Finance,,Banking & Lending,$10+ billion (USD),Australia,Victoria
Data Engineer,Melbourne,Edrolo,165000,160000,170000,,,,,,,Australia,Victoria
Data Analyst,Melbourne,Deloitte,76909,65000,91000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),Australia,Victoria
Data Scientist,Melbourne,LSEG (London Stock Exchange Group),118743,100000,141000,10000+ Employees,Company - Public,Finance,1698.0,Stock Exchanges,$2 to $5 billion (USD),Australia,Victoria
Data Analyst,Melbourne,TQSolutions,75498,57000,100000,51 to 200 Employees,Company - Private,Management & Consulting,2008.0,Business Consulting,Unknown / Non-Applicable,Australia,Victoria
Data Engineer,Melbourne,Edrolo,165000,160000,170000,,,,,,,Australia,Victoria
Data Analyst,Melbourne,Deloitte,76909,65000,91000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),Australia,Victoria
Data Analyst,Melbourne,Environment Protection Authority,114828,104000,126000,51 to 200 Employees,Government,,,,Unknown / Non-Applicable,Australia,Victoria
